Nhóm năng lực,Số học sinh,Tỷ lệ (%),Độ thuộc TB,Môn thế mạnh nhất,Môn yếu nhất,TB_math,SD_math,TB_physics,SD_physics,TB_chemistry,SD_chemistry,TB_biology,SD_biology,TB_informatics,SD_informatics,TB_literature,SD_literature,TB_geography,SD_geography,TB_history,SD_history,TB_english,SD_english
Nhóm Ngoại ngữ,168,72.41,0.3994,english,history,6.8,0.58,6.84,0.59,7.36,0.46,7.77,0.49,7.39,0.52,7.8,0.47,7.28,0.47,5.88,0.55,7.82,0.55
Nhóm Tự nhiên,50,21.55,0.4012,history,english,7.4,0.67,7.25,0.62,7.71,0.67,7.35,0.44,7.78,0.51,7.66,0.38,7.0,0.48,6.68,0.77,6.31,0.72
Nhóm Xã hội,14,6.03,0.399,history,english,6.7,0.46,6.72,0.57,7.31,0.43,7.31,0.45,7.73,0.36,7.91,0.42,7.27,0.56,7.11,0.61,6.13,0.95
