n_clusters,m_fuzziness,fpc_mean,fpc_std,fpe_mean,xie_beni_mean,silhouette_mean,davies_bouldin_mean
2,2.0,0.8989828345346065,1.1321582775137349e-05,0.19193462084934704,0.053855243703108215,0.7011255209268574,0.43751420236932614
2,1.7,0.9557202280370383,3.7656107671465212e-06,0.09281472403746613,0.05661226276030166,0.7011255209268574,0.43751420236932614
2,1.5,0.9819957946106084,2.6308933680371887e-06,0.03946867605615076,0.0576738971552139,0.7011255209268574,0.43751420236932614
2,1.3,0.9950738509857417,5.983767084402587e-07,0.010156031280480749,0.05825860279510707,0.7011255209268574,0.43751420236932614
2,1.2,0.998027468775608,1.134852546527728e-08,0.004007604448551405,0.05844589420196973,0.7011255209268574,0.43751420236932614
3,1.3,0.9620234497786205,9.689698366364654e-07,0.06476085960545583,0.1842793187958712,0.5370506940583135,0.5904567060429714
3,1.2,0.9749061238544512,5.492978173712118e-07,0.040948485095191535,0.18763090533360338,0.5370506940583135,0.5904567060429714
3,1.7,0.8720569436330403,7.049402421603612e-06,0.23821780711464915,0.1663161186345684,0.5349079469823388,0.594225505890611
3,1.5,0.9247093568986968,2.1662709463761684e-06,0.13777875401306222,0.17613982091632452,0.5349079469823388,0.594225505890611
3,2.0,0.7806733316802221,9.529443171405638e-06,0.4023603750380706,0.14776449424718138,0.5297337282261013,0.6050900111389317
4,1.2,0.946895634208459,5.3272135023273325e-05,0.08753547181604468,0.5289933972995458,0.41975167072868963,0.8047185379223243
4,2.0,0.6777739816889816,3.8392591080751345e-06,0.6009424240528266,0.42259758523457236,0.4193522207767128,0.8063490697790366
4,1.3,0.918901957138404,6.905642200432401e-05,0.1367946971136682,0.5225470567437607,0.4192698508994587,0.8063230636197686
4,1.7,0.7854640660626273,1.6029007781305455e-05,0.39474174926350036,0.4788242614484726,0.41827917680015686,0.8047143274010202
4,1.5,0.8565709098147265,3.256977608686903e-05,0.2556073354378613,0.5053391718838458,0.4182602113298436,0.8051376093249645
5,2.0,0.6144421910572478,8.990194667822606e-07,0.7645024162923204,0.42685190769829484,0.41510663375557644,0.7601857029204966
5,1.2,0.9377039475667468,0.0045518715894700594,0.10339153637301184,0.4847754851212662,0.38499018594370876,0.9516471853039004
5,1.5,0.8346452345941533,0.0022456022042691725,0.2983469762533799,0.43628886705855685,0.38110741987023566,0.934178193108854
5,1.3,0.9054387682861276,0.005566315176948219,0.16077760973846122,0.4557126572825082,0.38100886267945844,0.94526565051172
5,1.7,0.7547519123157702,0.00463607650018899,0.45942149172240887,0.4091906011710743,0.3802356819248279,0.9365125793731572
